Date,Open,High,Low,Close,Adj Close
2023-01-08,11122.5,11182.0,10844.75,10945.5,10945.5
2023-01-15,11126.5,11385.5,11120.25,11185.5,11185.5
2023-01-22,11613.5,11685.0,11510.25,11624.5,11624.5
2023-01-29,11676.75,11983.0,11650.5,11934.0,11934.0
2023-02-05,12212.5,12252.0,11960.0,11968.0,11968.0
2023-02-12,12572.0,12608.5,12455.75,12515.5,12515.5
2023-02-19,12357.5,12567.0,12265.25,12540.5,12540.5
2023-02-26,12380.0,12417.75,12090.25,12096.75,12096.75
2023-03-05,12003.0,12189.5,11990.0,12083.25,12083.25
2023-03-12,12306.25,12486.25,12276.25,12323.5,12323.5
2023-03-19,11894.75,12095.75,11674.25,11931.75,11931.75
2023-03-26,12690.0,12750.0,12525.25,12688.5,12688.5
2023-04-02,12916.0,12984.5,12765.5,12788.5,12788.5
2023-04-09,13262.0,13278.75,13154.0,13270.0,13270.0
2023-04-16,13179.75,13203.25,12967.5,13158.0,13158.0
2023-04-23,13212.5,13218.0,13076.75,13186.5,13186.5
2023-04-30,13070.0,13134.0,12967.25,13056.5,13056.5
2023-05-07,13317.0,13370.25,13258.75,13306.75,13306.75
2023-05-14,13316.0,13368.0,13254.5,13352.25,13352.25
2023-05-21,13378.75,13480.0,13350.0,13468.0,13468.0
2023-05-28,13805.5,13946.75,13794.25,13902.5,13902.5
2023-06-04,14437.5,14570.0,14336.75,14396.75,14396.75
2023-06-11,14577.0,14694.75,14512.75,14588.75,14588.75
2023-06-18,14560.25,14827.0,14554.25,14800.5,14800.5
2023-06-25,15303.25,15322.5,15126.5,15256.5,15256.5
2023-07-02,15057.75,15152.5,14853.5,14856.5,14856.5
2023-07-09,15331.0,15392.0,15308.0,15364.75,15364.75
2023-07-16,15198.5,15218.25,15063.25,15187.0,15187.0
2023-07-23,15690.0,15882.75,15661.5,15840.75,15840.75
2023-07-30,15556.0,15618.75,15483.75,15561.25,15561.25
2023-08-06,15850.0,15917.0,15791.25,15857.5,15857.5
2023-08-13,15370.5,15495.5,15334.25,15485.5,15485.5
2023-08-20,15104.0,15282.0,15020.75,15270.25,15270.25
2023-08-27,14762.5,15013.75,14720.5,14985.75,14985.75
2023-09-03,14991.0,15126.5,14973.5,15092.5,15092.5
2023-09-10,15517.0,15586.75,15418.25,15534.5,15534.5
2023-09-17,15308.0,15497.5,15298.0,15475.75,15475.75
2023-09-24,15382.25,15461.0,15330.5,15414.5,15414.5
2023-10-01,14880.25,14955.75,14782.25,14935.25,14935.25
2023-10-08,14965.0,15046.0,14826.0,14984.75,14984.75
2023-10-15,15040.25,15212.75,14949.5,15187.0,15187.0
2023-10-22,15120.0,15336.75,15083.0,15289.5,15289.5
2023-10-29,14680.0,14853.75,14514.25,14712.0,14712.0
2023-11-05,14336.0,14476.5,14303.0,14416.5,14416.5
2023-11-12,15187.0,15257.5,15138.0,15232.5,15232.5
2023-11-19,15586.25,15601.25,15465.25,15547.0,15547.0
2023-11-26,15895.0,16116.75,15837.25,16086.5,16086.5
2023-12-03,16008.0,16089.25,15938.75,16008.75,16008.75
2023-12-10,16022.0,16026.0,15721.25,15869.0,15869.0
2023-12-17,16093.0,16248.0,16045.5,16237.0,16237.0
2023-12-24,16820.25,16974.0,16802.25,16939.75,16939.75
2023-12-31,16964.5,17111.25,16964.5,17083.5,17083.5
