Date,Open,High,Low,Close,Adj Close
2020-01-01,3237.0,3261.75,3234.25,3259.0,3259.0
2020-02-01,3222.75,3267.25,3222.0,3245.5,3245.5
2020-03-01,2900.0,3093.25,2889.25,3065.0,3065.0
2020-04-01,2562.0,2562.25,2434.25,2448.0,2448.0
2020-05-01,2871.5,2879.75,2811.75,2821.75,2821.75
2020-06-01,3029.75,3059.0,3008.0,3054.0,3054.0
2020-07-01,3085.25,3117.75,3062.75,3103.0,3103.0
2020-08-01,3272.0,3295.5,3254.75,3288.5,3288.5
2020-09-01,3493.25,3530.0,3484.25,3527.0,3527.0
2020-10-01,3344.75,3388.0,3343.25,3367.75,3367.75
2020-11-01,3260.0,3323.5,3243.25,3300.5,3300.5
2020-12-01,3631.0,3677.5,3626.0,3660.5,3660.5
